Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukomuko,42645,157,1268,728,1248,3454,128,507,1918,1287,2502,559,2489,1190,707,3820,5011,435,3478,468,1475,669,159,1543,653,327,1154,565,441,1905,1346,1053,1
Lebong,34231,193,1094,671,1196,4446,157,189,509,3614,900,349,1662,564,491,997,3917,805,2518,522,909,283,27,692,968,165,343,351,250,4135,826,488,2
Kepahiang,31208,204,882,563,885,2471,183,204,277,4893,773,1385,882,664,471,2020,4401,443,2340,218,564,404,119,1282,998,151,45,225,170,2038,771,266,17
Bengkulu Tengah,38448,159,1594,429,1327,3623,166,572,1091,529,958,1527,1630,1183,821,2599,4764,634,2088,874,2987,487,77,1561,1309,597,147,394,240,2107,1085,889,-
Kota Bengkulu,59105,492,1679,1088,1557,3615,314,375,1222,11002,1559,1048,2159,1024,1485,2473,6223,460,2402,958,2629,716,271,2604,2988,925,2242,563,264,1785,1059,1915,5
Lampung Barat,35832,319,1571,598,1309,3685,72,494,1048,4703,428,189,237,928,423,446,3484,470,2430,160,415,828,130,1920,233,292,199,300,307,7157,741,316,-
Tanggamus,32819,116,2294,825,1599,2840,157,422,1311,1194,522,1188,442,755,715,285,4527,395,2265,385,1425,825,162,1225,533,401,139,408,484,3485,885,607,-
Lampung Selatan,34104,143,2107,671,985,2474,137,364,1330,2331,899,579,550,864,606,489,3745,357,2550,210,956,1607,229,2251,548,443,1223,533,369,2085,1006,1459,-
Lampung Timur,30579,197,1576,763,1048,2581,61,193,818,5370,750,851,256,1263,714,339,2842,253,1926,119,1015,842,48,1111,342,227,222,298,328,2450,538,1239,-
Lampung Tengah,39034,117,2020,737,1476,2767,90,362,1217,5993,451,532,820,1641,910,419,4595,312,2493,152,1098,894,146,1679,467,440,275,346,574,3247,905,1857,3
Lampung Utara,26003,155,1585,446,928,2087,107,149,893,4194,874,394,421,761,509,366,3528,274,1877,148,409,1247,139,889,391,73,138,262,382,1124,672,584,-
Way Kanan,38187,89,1622,688,1508,2823,100,347,1536,5992,570,1491,348,1163,659,479,3827,167,2262,733,1407,1377,33,1334,186,495,54,583,562,4081,632,1037,2
Tulangbawang,31420,254,1783,736,1041,2532,59,226,1048,4673,331,329,342,937,554,269,3485,123,2435,211,606,959,89,1197,356,258,1195,174,299,2397,698,1794,29
Pesawaran,36222,123,2796,799,1513,2923,151,272,1229,2765,478,1245,379,907,1044,556,3213,602,2133,594,1567,1298,236,1980,909,248,501,328,364,3018,910,1141,-
Pringsewu,31597,137,1917,989,1306,2200,110,178,937,3777,266,960,176,708,932,248,3555,252,2033,107,1551,1209,82,1421,939,230,1118,461,147,2114,668,866,-
Mesuji,32924,92,1950,705,1017,2837,75,245,685,2673,254,988,314,1104,1060,509,2995,238,2151,218,1608,897,116,1256,380,364,1430,622,357,3211,620,1946,6
Tulang Bawang Barat,34139,123,1587,527,1128,2849,60,225,853,8098,399,585,382,1410,1038,175,3152,205,1862,41,1190,622,56,1110,628,105,243,238,224,2476,618,1928,-
Pesisir Barat,46558,345,1981,879,2449,5058,211,406,1260,6886,957,1633,379,799,1305,588,4033,585,2725,645,645,960,220,1958,271,322,398,536,328,5749,1021,1027,-
Kota Bandar Lampung,59408,675,2627,1451,1735,2788,469,453,1681,9754,1958,712,1036,1511,1869,1139,5610,418,2737,590,1812,1113,1121,2391,3419,722,3005,505,765,2281,1042,2019,-
Kota Metro,60351,437,2404,1938,2587,2914,371,699,2130,6679,1802,1838,568,2611,1725,1175,6827,227,3771,693,3266,1215,426,2233,1523,873,1512,528,527,2986,1090,2778,-
Bangka,48676,349,1495,1736,4209,2242,1027,312,821,449,2315,1820,553,1496,1624,1454,6623,260,2485,929,3855,1135,854,1011,1719,716,1695,732,630,1746,953,1425,5
Belitung,66703,538,2892,2135,5555,2852,367,280,1597,8989,2136,346,313,1351,396,2233,8536,460,2716,332,3407,1716,951,1172,1487,696,3391,742,824,5270,1338,1400,283
Bangka Barat,56821,436,1365,1559,4675,2599,1340,331,687,2547,1575,1758,841,1979,1881,1320,6090,362,2544,1143,6908,1387,565,608,1901,947,1515,1329,618,4312,1080,619,-
Bangka Tengah,48436,144,1436,1238,4060,3061,1371,354,986,1261,2046,1246,1013,1053,1041,1594,6966,406,2594,520,3133,1715,717,988,1397,446,1595,800,708,1399,1341,1770,38
Bangka Selatan,50651,402,1550,1456,3357,2760,1369,290,880,2541,2080,1037,1381,1203,843,1339,7571,558,3204,446,2452,1846,246,1069,892,332,1744,1291,1216,2308,1199,1789,-
Belitung Timur,53801,297,1613,1735,4539,2370,114,45,809,2435,1773,1284,152,945,1021,1423,6641,424,3801,1364,4220,1911,619,788,858,984,2990,762,631,4950,1311,814,177
Kota Pangkal Pinang,69887,1030,2637,1897,4137,2074,992,460,1294,3271,2946,2304,712,1685,2514,2614,8203,338,4175,2501,6119,844,2279,1802,1745,1010,3836,657,575,3012,1564,661,-
Karimun,53015,474,1708,1343,4081,1680,157,426,2985,3913,2593,1098,5128,1043,819,1439,2903,651,1997,869,1754,884,824,986,1569,677,1502,797,618,4865,1209,1680,344
Bintan,49582,795,1727,1296,2849,2436,165,357,1464,8992,1604,343,2552,943,472,1389,3241,362,2066,524,2529,1232,807,647,1827,310,1285,751,1109,3193,1221,1053,41
Natuna,49419,1012,2167,1725,4343,2491,74,261,2263,4610,2639,489,1080,571,904,827,4633,433,2142,832,3402,900,1156,236,830,563,1832,532,361,3930,811,1369,-
Lingga,43012,635,1057,2036,5592,2482,299,262,2332,3463,1105,62,2589,1379,1264,1602,2091,258,2663,846,1457,1073,880,467,392,130,906,756,601,2643,787,904,-
Kepulauan Anambas,59171,382,1242,1606,6767,2438,324,239,2737,3835,2708,742,2650,710,1107,1205,6352,576,4103,1012,3169,704,874,390,911,517,2490,437,636,5266,820,2171,51
Kota Batam,85402,928,3773,1971,2527,2956,370,830,2038,8484,3343,4718,3319,2107,2205,1531,6848,985,3143,3103,8067,993,1350,1305,1937,1755,4242,1106,619,4583,1654,2261,352
Kota Tanjung Pinang,96354,843,3493,1606,2982,2093,394,624,3201,14767,3471,2148,5316,4010,2487,2908,5535,468,3472,3179,5767,1476,2525,1313,3594,1251,2508,1034,916,9095,1737,2019,121
Kep. Seribu,56188,382,2858,1252,2756,4570,699,1844,1777,3017,2041,152,1288,1300,1000,1327,5486,696,2537,767,1770,1478,1876,1988,1085,746,5249,236,289,1529,1187,3008,-
Kota Jakarta Selatan,127963,1479,5740,3680,3760,4566,553,1855,4442,16888,5021,2344,3065,5586,2441,3022,9254,994,3876,1355,6048,1441,6044,3689,6840,3388,5481,1592,940,7375,1849,3353,5
Kota Jakarta Timur,89020,1601,3272,2131,2368,3581,325,1641,3372,10347,4269,2079,2396,3727,2068,2146,6706,1144,2249,2021,4663,1225,4087,2741,2231,2569,4909,692,879,3655,1405,2519,-
Kota Jakarta Pusat,119741,1025,4418,2274,4013,4353,205,1975,5238,9258,8139,3042,3920,6498,3194,3751,10266,903,2419,3823,6935,2146,5897,4326,2728,3551,4593,1031,1131,5652,1737,1301,-
Kota Jakarta Barat,106072,1051,4402,2407,2977,3561,641,1273,3723,14295,4979,1595,2597,4542,1994,2369,9454,879,2517,2320,5199,1415,4690,3030,3625,3495,5363,908,1255,4747,1544,3136,88
Kota Jakarta Utara,129890,1266,5951,2973,4388,4661,1140,2076,4294,17421,5232,2754,3429,5377,2138,3168,9168,1061,2928,2306,6253,1556,4859,3949,4680,5737,5481,1184,1659,7105,1508,3953,233
Bogor,51336,546,2313,1563,1189,2897,320,732,1418,5406,1656,1312,879,1246,1275,640,6192,557,2263,695,2404,919,2301,1927,2120,852,1640,596,453,2117,1316,1558,34
Sukabumi,46202,449,2301,1790,1570,3650,446,409,828,4064,956,555,264,342,780,442,6063,690,3017,445,1665,1209,2583,1553,2750,565,754,661,761,2333,1482,827,-
Cianjur,46336,250,2574,2065,1350,3387,567,396,415,3898,606,1568,412,330,1122,372,5412,373,3246,479,1652,1170,1842,1992,3030,965,786,981,809,2213,1386,689,-
Bandung,53064,414,2594,2245,1886,3461,404,765,615,4919,1231,425,1225,796,1541,638,6538,353,3305,268,1775,1289,1978,2209,3233,760,1831,1321,777,2187,1067,1013,0
Garut,44700,290,2705,1795,1394,3625,665,317,434,4011,774,564,523,278,1002,504,6183,519,3187,337,957,1178,1380,2236,2726,240,720,611,895,2276,1456,911,5
Tasikmalaya,42750,268,2147,1049,1539,3728,588,575,364,3613,702,517,391,216,2648,492,5810,611,2079,602,1520,1129,1366,1672,2210,230,879,645,934,2437,1127,663,-
Ciamis,48848,345,2515,2152,1827,3071,320,959,1244,2337,1436,968,716,915,2678,1058,6223,334,2605,1080,2777,1284,1523,1990,1742,234,1130,755,730,1729,1264,905,-
Kuningan,47026,445,2340,1866,2227,3179,487,474,1196,4889,1252,814,339,585,2227,710,5055,471,2791,454,2049,1082,1795,1646,1596,778,869,919,434,2191,870,984,12
Cirebon,70000,434,2585,2604,2432,3808,420,1115,2099,8035,1925,2390,1348,1013,3832,763,6562,720,3010,1219,3649,1560,2107,2598,2464,1262,1727,548,583,3391,1105,2687,4
Majalengka,53246,263,2584,1742,1804,3840,459,880,1272,4384,1074,302,591,927,4330,1039,6296,350,2974,493,2807,1449,1865,2121,2286,696,1320,776,389,1790,1114,1029,-
Sumedang,63061,330,2696,2548,2065,4331,353,723,1133,8174,1230,1297,951,561,2461,829,6813,395,4598,894,2325,1561,1709,2841,2865,672,1214,1091,942,2936,1303,1143,75
Indramayu,74863,415,3364,2006,3024,5208,231,1338,3067,7440,2532,1753,2068,856,2321,1743,6211,1220,2817,2407,3031,1718,2682,2244,2625,1178,2233,724,763,2656,1007,3882,99
Subang,50788,183,2288,1601,1633,3404,189,1118,1663,2714,1767,443,1745,1145,1939,799,5589,565,2617,1222,2106,1720,2276,1955,1712,903,1308,1010,808,1956,998,1387,25
Purwakarta,55022,301,2797,2476,2325,3583,243,437,746,6998,1385,467,613,1010,1449,936,6450,467,3136,373,2401,1486,2376,1519,2551,823,1350,795,787,2206,1527,1009,-
Karawang,74801,466,2688,1799,2204,4177,185,933,2105,11173,3057,693,2204,1575,2904,1096,6533,610,2937,2007,3909,1481,4421,1605,2626,1745,2819,1075,767,1967,1070,1963,7
Bekasi,92988,662,3245,1880,2492,4116,319,990,2396,18792,4437,894,1733,2587,2500,1487,7506,834,2771,1888,4320,1922,3632,2661,2910,1388,5115,872,837,4841,1189,1772,-
Bandung Barat,41839,396,2352,2173,1486,2952,308,636,657,3544,844,330,908,353,1092,618,5125,302,3082,346,984,1205,1550,2121,1938,573,1184,569,1028,1405,1227,522,30
Pangandaran,49652,488,2145,1977,1864,2698,385,1176,2069,1102,1915,1057,1167,2342,1629,1273,5959,633,2152,1262,2600,1249,1333,1998,1064,324,1820,847,744,1908,1502,962,7
Kota Bogor,81218,1312,3389,1879,1642,3556,751,710,2520,11595,2900,884,1156,3142,1477,1253,8839,844,2277,1191,3883,1114,3994,2732,4093,1573,2493,830,619,5115,1432,2018,5
Kota Sukabumi,79284,1049,2596,3440,2851,4073,1088,886,1526,11305,2208,841,995,1258,1374,1648,8386,366,3694,828,3518,1324,4980,2072,4006,1283,2897,1289,1206,3182,1381,1433,298
Kota Bandung,89528,1120,3588,2412,2924,3597,312,1203,1440,11902,4104,893,2298,2408,2442,2573,9324,413,3257,786,4133,1177,4854,3855,4165,1350,4205,1854,1440,2986,1433,1080,1
Kota Cirebon,75062,644,2552,2012,2895,3223,463,1671,2795,9135,2547,389,2301,2379,3374,2025,7119,617,2290,1673,3445,1362,2596,3100,2580,821,2077,525,742,2588,1257,3866,-
Kota Bekasi,111140,1489,3760,1963,2837,3712,679,1108,2958,20154,4856,1299,1596,4563,2019,2333,8747,965,3249,1845,5960,1673,3565,3480,3176,2626,6457,1526,1488,6352,1998,2636,71
Kota Depok,98064,1319,5120,3056,2397,3582,439,1288,3539,14163,3631,1575,2210,4586,1497,2234,8743,590,2910,1018,4220,1023,4408,3317,2954,2179,4526,1376,1003,4527,1927,2709,0
Kota Cimahi,81334,1149,3545,3026,2825,3330,672,1080,1391,7350,3002,1673,2035,1999,2457,1503,8064,573,3865,945,3829,1398,3305,3993,2747,1332,3686,1615,1685,3618,1512,2126,5
Kota Tasikmalaya,79467,952,3756,2465,2268,3870,1130,1584,1929,3698,3473,943,846,1499,8106,1678,8676,490,3556,1591,3496,2133,4490,3340,3221,435,2145,980,1079,2153,1437,2042,4
Kota Banjar,61288,821,3883,1502,2384,3109,460,1913,2197,1864,2154,1125,1890,1976,3594,1501,7343,357,2151,1371,2733,1468,2003,1887,2713,219,2034,457,762,1810,1222,2367,17
Cilacap,36308,240,1893,1090,1218,2237,269,305,900,5564,915,778,209,827,1319,497,4025,389,1791,275,1526,831,333,1589,867,204,1339,304,184,2221,839,1333,0
Banyumas,52335,312,2443,1812,2655,2928,348,581,1107,6831,1435,421,193,1980,1634,1590,5959,433,2081,586,2602,940,728,2432,1188,713,1082,386,352,4232,1172,1178,-
Purbalingga,39595,161,1755,1125,1938,2261,484,538,778,3457,820,1461,201,1171,2098,853,4753,273,2391,368,2841,797,423,2123,1228,404,365,396,266,2038,1138,683,5
Banjarnegara,37305,174,1215,1178,1422,2837,254,257,382,6884,765,497,73,507,1095,646,4126,222,2633,378,1932,939,263,1400,1400,305,365,497,335,2665,996,664,-
Kebumen,43238,246,1917,1313,2214,2561,272,336,641,7693,629,857,179,753,1671,616,3734,140,2327,528,2653,680,436,1655,1337,681,830,373,244,3790,718,1205,8
Purworejo,38794,96,1864,1877,2283,2686,292,427,798,3929,495,1670,223,1506,2420,716,3488,106,1927,619,2382,486,232,1285,722,432,656,252,121,3364,469,968,5
Wonosobo,42982,140,1393,1638,1517,3206,514,145,143,5200,484,1582,108,526,1834,577,5207,280,2498,577,5296,1009,68,1490,1550,417,239,292,338,3354,989,368,-
Magelang,41956,209,1751,1414,1974,2702,346,315,427,6292,1234,899,149,1364,1474,911,4458,140,2560,409,2137,725,379,992,2457,243,219,188,445,3617,952,564,10
Boyolali,43457,79,1440,943,1801,2234,228,290,559,7091,1207,1094,294,2275,1373,995,3944,157,2489,428,1870,545,371,2093,1139,669,1020,199,400,4359,698,1166,7
Klaten,47267,275,1413,1184,1544,2160,151,225,853,4911,1464,1794,227,3221,2331,1149,3756,318,2453,1008,3436,874,435,1613,1508,802,1558,361,344,4289,653,957,-
Sukoharjo,56596,298,2140,1021,2316,2781,166,668,1771,6677,1744,1120,393,3437,2284,1627,5091,276,2233,705,3158,723,606,1747,1688,977,2307,218,336,5121,737,2229,-
Wonogiri,39663,235,1487,1042,1371,1906,91,236,757,7864,975,661,87,1845,1516,943,3897,292,1666,706,2284,852,163,853,980,521,1028,153,373,3756,474,611,35
Karanganyar,57847,274,2169,1379,2269,2686,146,754,1266,6321,2486,3050,387,4392,2740,1015,5582,452,2463,668,3855,868,906,1667,860,821,1635,162,171,4424,841,1136,-
Sragen,48793,178,1846,913,1647,2653,180,624,1259,5600,1672,883,486,2700,1607,1182,4938,311,2479,277,2685,850,505,1535,1490,921,2333,194,178,4315,639,1672,40
Grobogan,61383,125,1607,1021,1735,3205,252,450,1391,12234,1643,971,1516,1987,1619,847,6481,317,2862,361,2205,1724,244,2258,1016,961,2582,370,333,5192,951,2835,89
Blora,55863,164,1298,1135,1908,2625,318,254,1602,8573,1446,1679,1098,1422,2857,1014,4814,389,3683,621,3282,1211,146,1221,1440,573,2631,288,277,5970,812,1105,6
Rembang,56287,189,1657,1332,2694,3436,222,408,1314,6569,1509,2226,1158,1097,1572,784,5583,423,4119,741,3380,1451,214,1139,2020,798,2555,301,209,4582,871,1722,12
Pati,50622,169,1672,1362,2316,2990,313,690,1285,3401,1791,1348,1479,944,1844,760,4735,452,2764,2259,2454,1392,364,1678,1381,482,2498,323,382,4285,819,1963,27
Kudus,67633,327,2091,1187,1951,3289,343,462,2289,4158,1768,2308,1006,3024,2328,1439,5303,322,3635,3718,5145,1705,597,2478,2142,596,2161,425,499,7798,1113,2027,-
Jepara,42579,107,1667,986,2407,2369,182,583,1054,4107,1686,876,696,1283,877,813,4538,393,2261,717,2644,1456,308,1319,768,296,1038,386,322,4479,735,1221,6
Demak,49621,141,2249,1352,1365,3339,217,489,1767,5003,1524,428,660,1823,1387,575,5551,380,3065,1041,1176,1619,191,2051,885,612,2742,422,583,4701,896,1380,4
Semarang,48617,213,1798,1687,2095,2829,280,456,714,6323,1727,1388,306,2593,2076,912,4813,214,2654,366,2667,1003,484,1897,1133,879,610,326,412,4032,820,910,-
Temanggung,40180,139,1540,1069,2083,2498,279,382,294,7880,820,506,117,1061,808,1138,5280,466,2241,173,2836,1026,283,1206,808,234,116,252,255,3139,795,455,1
Kendal,49446,475,2286,1696,1300,2563,301,293,908,7390,2412,550,216,1533,1399,1303,5159,452,2497,524,2335,1808,485,1999,818,717,1396,314,273,4033,770,1241,2
Batang,61911,260,2098,2190,2348,5274,455,636,1079,8691,1857,908,361,1794,1633,839,6341,565,4358,1469,3275,1881,652,2357,1111,549,343,424,228,5578,988,1368,-
Pekalongan,65312,251,2952,2664,2733,4800,450,917,1553,7761,1988,1031,464,2076,2223,670,6387,452,4087,1830,3131,1644,1127,2726,2005,532,1038,490,249,4453,1074,1518,36
Pemalang,59403,266,2603,2008,2422,4221,455,475,1355,10126,1102,873,556,796,2564,800,5224,303,3800,1323,3275,1517,891,2585,1598,411,1084,412,246,3399,1116,1597,-
Tegal,48896,312,1906,1822,1734,2551,217,717,878,10842,1529,370,775,817,2384,629,4533,474,2694,775,1821,1113,935,2251,903,256,1095,397,215,1752,972,1222,6
Brebes,52123,172,2280,1490,2223,3567,475,907,1026,8929,1291,341,683,702,2716,531,5380,558,2670,1300,2055,1149,1071,2282,912,386,1147,648,252,2179,874,1924,1
Kota Magelang,61041,569,3155,1296,2404,2779,490,637,1258,7314,3775,973,470,3740,3192,2025,6387,306,1628,1189,4384,502,1031,1555,1605,850,868,309,437,4135,1068,701,11
Kota Surakarta,73307,604,2816,1528,2251,3095,638,1231,2511,5486,2670,2385,680,4041,5495,1585,5826,513,2521,1157,4361,965,1535,2076,1905,1093,3858,265,399,7273,1195,1352,-
Kota Salatiga,67586,802,2736,2294,3408,2775,673,461,1085,5794,3496,2351,235,2649,3329,1629,4427,228,3794,1804,7173,693,429,1416,3066,973,1945,309,527,5103,1053,928,-
Kota Semarang,83427,677,3889,1529,2772,3214,709,653,1729,12775,3191,1079,600,3952,2577,2178,6569,513,3198,1552,5513,969,1179,1838,2895,2196,3682,551,563,7798,1286,1528,72
Kota Pekalongan,79794,490,3088,1880,2449,4959,1045,1302,1579,10337,2855,1232,457,2511,3025,1356,7118,765,3413,3537,5921,1718,1807,2365,3593,699,987,241,355,5762,1162,1773,12
Kota Tegal,81692,315,3238,3486,4252,4296,380,1225,1552,19428,2251,705,1838,2277,3044,975,6255,419,3738,1858,3862,1644,1887,2252,1440,952,619,822,420,3529,838,1892,1
Kulon Progo,39894,97,1508,1768,2304,2336,364,399,888,6096,601,925,69,1646,1447,734,4077,209,2263,934,2278,339,171,1033,822,666,919,226,278,3303,488,518,187
Bantul,71375,417,3031,1994,3598,3212,674,491,1122,5574,2555,1966,248,4151,3473,2871,6608,214,3765,2977,5252,956,748,1667,1691,1369,2622,399,416,4644,1108,1556,4
Gunung Kidul,37789,48,1462,1562,1883,2907,121,441,465,6358,629,593,44,1838,1178,995,4192,145,1960,578,1383,411,142,1099,503,515,686,304,391,3712,698,546,-
Sleman,89999,900,3548,2627,3866,3782,620,678,2028,8873,3246,3547,584,5443,4305,2809,7098,531,3593,4424,7951,1146,1034,1735,2084,1031,2412,533,698,6075,1186,1571,42
Kota Yogyakarta,93854,800,3900,2474,4419,3524,551,924,2808,7472,3452,3787,701,5840,5513,2841,7234,712,2649,4559,8906,756,1150,1955,1781,1806,3250,518,656,6068,1245,1570,31
Pacitan,39069,81,1596,974,1933,2443,181,415,779,8286,997,276,701,2287,906,495,2181,345,1492,497,804,496,68,910,426,431,405,180,259,7190,571,461,-
Ponorogo,39955,212,1196,1026,2042,2714,191,436,2035,3724,1043,1177,323,2400,1375,745,3455,145,1804,204,1967,711,191,652,1462,231,1453,281,222,4363,758,1418,-
Trenggalek,31562,72,824,820,1583,1446,105,613,681,6858,783,874,346,1825,1150,380,2843,453,1729,355,836,390,47,499,637,291,674,230,234,2706,688,587,1
Tulungagung,39239,125,1264,761,1958,1706,172,371,2156,2962,2043,1098,758,2067,1525,706,3570,380,2604,373,1309,729,299,654,1015,451,1483,711,198,3829,774,1156,31
Blitar,40642,119,1205,1139,1561,1722,202,226,1902,6735,1617,1064,200,2177,1781,570,4394,247,2671,364,1836,621,128,464,1390,351,751,537,293,2522,911,933,8
Kediri,40607,263,1140,1209,1633,1489,218,507,1923,5300,2145,1036,812,2091,1264,812,4646,348,2422,390,1318,671,207,1341,939,342,683,381,205,2756,761,1357,-
Malang,45025,202,1311,1326,1839,1914,216,322,1286,3734,2371,1176,519,3066,1163,753,6779,353,2892,341,1875,926,112,585,1868,470,672,425,582,3766,1072,1098,11
Lumajang,53547,311,1467,1291,2969,2241,399,405,2120,2020,3417,2482,1146,5682,864,1265,5720,715,3267,485,2245,997,223,832,2238,513,587,574,581,3446,1213,1835,-
Jember,40776,255,1599,1565,2113,1824,154,343,1525,2959,1649,1219,832,1913,753,628,5384,414,2999,327,1109,1076,166,814,1884,560,794,337,379,2585,1084,1531,-
Banyuwangi,64214,311,2726,2157,3277,3220,289,708,2216,3512,3245,2687,947,4516,1734,1059,6153,698,3961,1018,2471,1099,432,842,3048,1323,1287,996,498,4045,1265,2475,-
Bondowoso,43594,100,1387,1301,3051,1828,169,171,1055,9123,1475,757,238,1771,208,484,6002,298,3625,126,997,891,119,645,1713,502,246,299,331,2852,1191,640,-
Situbondo,43599,227,1408,1895,2353,2299,481,167,2136,2392,1978,1988,429,2196,1058,486,5261,660,3339,1428,901,996,288,433,1099,905,634,494,422,2984,861,1400,0
Probolinggo,38805,102,1325,1351,1663,1346,326,59,1367,3107,1412,1890,270,2420,467,534,4334,333,3388,554,1081,1454,19,643,2471,581,359,423,275,2933,935,1362,21
Pasuruan,45253,236,1538,1640,1727,1886,267,318,1236,1882,2706,1668,625,2931,525,825,6560,553,3621,898,1556,1094,153,683,1979,773,779,270,297,3152,1270,1593,11
Sidoarjo,70045,628,1842,1361,2440,2080,446,670,2871,5629,4998,776,681,3906,776,1515,8613,527,2891,795,4044,1255,966,1837,3025,1304,4849,566,387,5009,1418,1936,3
Mojokerto,50306,223,1519,1227,1924,1965,239,434,2346,2876,3743,806,761,2431,632,994,6913,508,2795,556,2000,1126,338,1116,2059,618,2293,392,570,4088,1314,1486,15
Jombang,52462,284,1619,1450,2171,2325,401,489,1695,1879,3299,2629,535,2518,1784,785,5674,375,3160,1186,3003,1213,149,1124,1599,1002,2129,598,327,4086,1065,1906,2
Nganjuk,51481,214,1596,1064,2141,2848,291,381,2420,6664,3304,1981,634,1434,1334,1195,5880,354,3204,412,1690,785,188,860,2021,500,1710,326,273,3398,1057,1324,-
Madiun,42504,120,1537,924,2063,2472,110,445,2928,4425,1228,1049,519,2507,1369,789,5093,339,2075,298,1537,659,68,631,1115,381,1100,351,132,3764,830,1638,9
