Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magetan,39163,176,1405,1160,2127,2326,233,279,1994,2356,1205,1047,550,2390,1305,869,5008,241,2773,318,1338,574,246,807,1099,333,748,412,219,3806,796,1001,20
Ngawi,53329,174,1715,838,2139,3978,111,490,2303,3638,1421,4761,810,2494,2126,1151,5001,559,2639,334,2098,844,259,923,1554,368,2006,470,262,5116,803,1886,55
Bojonegoro,41632,212,1246,613,2100,2584,165,535,2211,2180,2299,458,1643,1469,784,704,4899,305,1948,289,798,737,299,1134,1808,307,2188,429,261,3936,839,2250,2
Tuban,47268,297,1426,1249,1899,2710,224,439,2727,2013,3304,939,1182,1943,967,667,5386,369,3100,627,1450,1187,171,1005,1765,541,3187,269,212,3090,900,1908,112
Lamongan,52901,452,1516,1348,2099,3095,251,603,1741,2026,3569,1492,940,2798,903,791,5969,538,3025,812,1363,1387,300,902,1278,943,3254,633,404,5040,1250,2175,5
Gresik,75523,857,2838,2158,3035,3935,442,867,2824,3113,4843,1443,1181,3900,978,1229,7315,775,3367,1550,3023,2083,470,1702,1608,2184,5536,701,817,6613,1584,2547,6
Bangkalan,29894,261,1039,590,1031,1630,239,631,1497,1766,1884,578,922,1447,209,730,2709,423,2208,274,859,847,229,716,1084,514,823,592,251,2126,526,1251,9
Sampang,24244,56,946,813,775,1271,124,105,1003,4001,775,400,966,531,39,313,2225,180,2488,48,151,965,22,389,2068,873,337,120,273,962,514,512,-
Pamekasan,26350,173,1090,760,1215,1348,113,224,652,4668,959,392,181,461,89,283,2480,312,2323,45,493,890,92,456,1343,1351,438,332,325,1341,998,517,4
Sumenep,65530,506,2526,2056,3697,3581,464,571,3552,8016,2197,1968,1114,4690,323,1056,4590,585,3556,399,2683,1157,559,579,2553,2901,505,1250,1429,3590,1301,1574,1
Kota Kediri,70801,635,2484,1786,2822,2659,805,1007,3276,6222,4848,1704,1383,3045,2760,1487,6500,514,3420,706,3661,1000,946,1877,2262,901,1846,470,595,4965,950,3261,3
Kota Blitar,68622,366,1635,1634,3257,2274,475,232,3188,9527,3610,1947,804,3650,3390,1237,6342,230,4120,900,3958,675,437,960,2512,1225,1829,652,376,3476,1172,2461,69
Kota Malang,58843,933,2312,1608,2808,1841,478,467,1826,4837,3303,1584,433,3523,1424,1479,6471,334,2079,777,3729,588,769,1201,3429,706,2691,657,543,3997,886,1128,2
Kota Probolinggo,50071,323,1984,2149,1999,2071,377,307,1505,3682,2380,1581,334,1629,742,1129,5232,75,4785,775,2050,958,180,899,2642,761,2932,340,371,2203,1272,2404,-
Kota Pasuruan,71834,568,2000,1546,3242,2093,431,481,2465,8357,5281,1069,323,3160,1355,1026,9741,778,4117,1372,2747,1147,735,1537,3408,1042,2782,449,278,4731,1148,2426,-
Kota Mojokerto,63927,645,1748,2124,2415,2272,289,601,2225,5188,4124,1218,601,3718,1206,1375,7097,409,2975,1349,3202,1225,574,1650,1930,823,5259,276,697,3786,986,1921,18
Kota Madiun,79936,732,3621,1932,3528,2610,646,1244,4769,8867,4198,2118,927,4383,2278,1930,6377,442,2630,1133,3798,1229,1303,1488,2809,1090,5296,333,488,4083,1115,2538,-
Kota Surabaya,93553,1375,2767,2192,3406,2856,789,955,3974,7699,6166,1760,1706,6269,1419,2603,9549,619,2858,1246,4746,1717,1796,2660,2776,2627,5958,945,783,5324,1656,2343,13
Kota Batu,65482,327,1967,2110,2245,2380,266,465,1720,7745,3744,1963,550,4078,1527,1526,7917,194,4089,347,4797,978,339,1438,1604,531,1351,652,328,5634,1457,1211,4
Pandeglang,37610,99,1873,1364,1517,3037,274,409,1149,4275,836,301,1383,313,499,192,3742,356,3277,477,438,692,2165,1142,1327,411,446,483,653,1983,759,1737,-
Lebak,49955,182,2678,1736,1361,4043,284,475,1397,6853,1125,1940,753,211,585,239,6301,1096,3154,633,1015,894,1481,578,1182,991,383,744,1137,4129,996,1378,-
Tangerang,64850,551,2771,1151,2219,3754,165,1381,2312,10090,2642,559,2564,936,1056,924,6133,715,2008,826,1730,1369,3420,2909,1205,1211,3433,456,532,2520,989,2316,5
Serang,52821,286,3014,1261,1045,4529,344,891,1354,7972,1392,506,1439,367,194,562,5694,634,2759,259,1104,1072,2778,1990,2022,1133,1469,449,373,2684,1307,1931,5
Kota Tangerang,107911,1277,4036,2304,3254,3899,472,2247,3549,18346,5072,1087,2535,4036,1810,2444,8535,821,2780,1847,4235,1764,4860,4116,2855,2740,6164,783,1138,3637,1633,3629,5
Kota Cilegon,77869,637,3681,2642,2139,3861,684,1787,2855,8413,2691,465,1984,1581,694,1622,7863,710,4528,787,2399,1812,2406,5383,2709,1434,3925,484,533,2707,1613,2839,-
Kota Serang,72344,317,3686,2134,1463,4910,456,1028,1760,13234,2300,556,2223,888,503,899,8099,561,2583,576,800,1474,3739,3179,2915,1275,2745,575,455,1931,1458,3622,-
Kota Tangerang Selatan,84403,1682,3885,1336,2172,3050,226,1609,3944,11555,5268,858,1498,4272,1302,2046,6939,659,1770,970,3236,995,4459,2961,1688,1487,4797,697,930,4349,1543,2010,211
Jembrana,38937,296,1914,1162,2183,1378,68,582,560,8709,924,183,1072,1097,784,676,3168,165,2492,537,861,926,334,225,649,960,1970,528,639,789,524,2521,63
Tabanan,46998,533,2419,1313,2550,1738,62,892,658,5359,2573,318,753,1213,592,1332,3687,297,2474,367,2044,1042,1448,395,1374,1315,2199,1140,944,2075,1020,1997,876
Badung,114869,1427,3864,2518,3338,2536,441,2527,1765,20660,6092,1797,1938,4233,3099,3257,7448,431,4530,2112,6231,1631,2828,1837,2444,3455,5665,2708,2551,4567,2103,4318,518
Gianyar,64811,732,2143,1063,2959,2112,57,1856,1012,12247,3816,346,800,1636,987,2117,5258,834,2387,244,2781,1358,2192,613,1571,2051,1177,1262,1701,2728,1340,3281,148
Klungkung,46161,386,2156,953,2606,1850,54,604,1531,8510,2019,586,961,1209,1259,1121,3453,362,2234,518,1820,875,1262,489,556,2047,1937,782,540,1405,725,1248,103
Bangli,52964,280,2653,1876,2826,1332,72,885,731,11148,1797,217,1200,2287,517,1330,4032,371,3465,191,895,1301,1050,84,943,2485,1039,1047,1295,2747,1102,1350,417
Karangasem,29506,63,1547,931,2118,1047,5,232,1147,6183,595,78,228,513,438,835,2579,123,2455,174,662,740,138,17,252,1210,779,595,576,1424,723,772,328
Buleleng,33912,164,2153,710,2601,1666,98,337,477,6118,760,138,709,987,324,666,3993,158,2327,77,527,934,323,106,717,778,750,471,450,1535,676,1632,551
Kota Denpasar,97532,1102,3630,1382,4027,2361,218,2126,1932,20635,4652,1109,1173,3180,1776,2772,6775,208,3441,1010,4663,1378,1979,1567,1888,3211,6905,1565,1898,2298,1618,4819,231
Lombok Barat,53165,548,2564,2335,3050,3852,310,310,1951,5906,1056,689,501,633,1767,733,3118,843,4752,478,1536,1879,155,344,1744,1349,984,1019,1010,3281,1243,3204,24
Lombok Tengah,45077,254,2146,1546,1767,2426,115,197,795,7171,442,1288,268,803,2206,440,2160,491,4090,378,1282,1667,32,500,1920,1259,659,1147,910,2857,1549,2267,47
Lombok Timur,52527,764,2709,1597,2459,4340,83,449,1210,6064,885,1578,427,2154,1900,404,2586,469,4152,401,1049,3834,170,667,1480,1371,572,966,1495,2768,1442,2062,21
Sumbawa,49049,980,3204,2412,1893,2221,128,302,1765,7989,1110,699,157,1753,1057,648,4461,796,2877,934,819,973,219,238,1215,1846,2364,1285,953,1852,959,849,91
Dompu,41138,124,2156,1385,2243,3013,240,469,923,4673,1423,389,10,685,1009,240,4211,1023,3267,910,661,3073,39,257,1417,1343,918,1378,735,1430,949,511,35
Bima,37603,184,3020,2013,2619,3203,225,322,623,3842,741,387,4,756,419,215,2929,682,2467,592,620,4958,10,75,606,1728,371,1029,660,881,867,555,-
Sumbawa Barat,72943,875,3201,2847,2497,3410,523,330,2144,12171,905,2017,609,1260,1932,1098,4372,825,3967,3068,2593,1860,253,282,3089,3382,3067,2580,1125,3156,1873,1508,126
Lombok Utara,39161,575,1705,952,1825,2605,244,161,1164,4578,698,1237,181,904,1011,1592,2809,614,3039,396,943,1385,24,64,2357,1139,289,413,498,1970,1243,2182,363
Kota Mataram,77183,675,3227,2483,3343,3258,498,614,1840,11856,2083,1745,370,2255,1897,1574,5091,841,5623,1953,3229,2248,484,689,2724,2706,2558,1366,1084,2851,1455,4482,82
Kota Bima,66357,511,2651,2569,2956,3147,360,599,1728,10671,3476,473,78,1183,797,794,7137,841,3205,1151,1483,6193,197,383,1227,3133,1481,1725,812,2254,1227,1897,17
Sumba Barat,16576,122,1273,425,228,933,41,65,77,698,152,1489,19,259,1016,41,816,156,993,399,1226,65,-,7,9,355,54,261,394,4369,260,49,326
Sumba Timur,34154,120,1844,528,474,1796,132,217,355,9043,818,2191,15,403,1493,171,1708,251,765,605,1433,250,72,104,1127,1142,192,226,383,4687,360,519,733
Kupang,21734,216,1387,387,479,1897,76,161,123,6504,239,614,1,226,640,14,1385,187,746,345,299,35,29,11,246,927,150,416,227,2885,109,143,629
Timor Tengah Selatan,33373,36,1392,1299,984,2347,56,182,16,8371,532,3078,-,152,327,8,1688,212,1070,160,1173,51,-,99,581,503,140,256,506,6593,132,41,1387
Timor Tengah Utara,26387,597,1786,536,651,2409,171,239,282,6600,770,139,-,287,263,108,1668,227,1521,266,584,61,62,479,269,620,156,174,454,3826,218,52,913
Belu,22494,905,2302,372,1031,2312,111,122,149,2531,217,125,21,201,102,71,2270,191,1195,164,674,195,22,559,759,1195,182,142,286,2225,341,198,1325
Alor,21723,74,2130,875,855,1403,162,272,202,1641,170,2065,14,167,1204,5,524,149,1174,1542,1004,26,-,57,477,1053,170,119,188,2808,192,709,292
Lembata,21439,37,1931,685,1704,916,14,37,256,5799,109,148,55,38,247,16,857,33,1356,212,191,25,-,1,315,1175,350,76,137,3380,154,642,543
Flores Timur,13367,262,1581,469,1008,1318,60,106,77,1114,236,395,38,84,256,108,1158,97,812,330,109,67,-,102,241,374,400,139,410,1552,104,136,224
Sikka,33016,84,3224,717,875,1471,237,266,426,5917,315,1822,8,248,1692,57,2074,276,654,1522,760,420,23,73,480,1335,851,156,565,4080,177,969,1243
Ende,21878,202,2029,836,1729,1017,46,164,799,4638,209,247,12,308,220,196,1507,103,861,195,241,41,39,32,284,688,326,211,555,2512,203,431,998
Ngada,26582,395,1590,859,1441,1144,32,414,146,1360,1040,3421,22,285,913,117,2916,553,652,1061,1090,51,77,291,512,657,3,276,515,3025,376,75,1273
Manggarai,31386,84,1499,876,1238,1346,29,10,37,3868,330,2864,141,221,2695,33,2042,205,1575,1592,857,128,3,98,428,264,78,116,470,7297,106,10,845
Rote Ndao,13412,164,710,361,809,1299,62,221,170,2353,501,6,-,163,21,12,1855,107,1063,16,47,4,-,71,284,1161,267,59,129,985,133,167,211
Manggarai Barat,25300,136,1183,1017,1155,1045,251,26,260,2554,268,1719,24,189,1888,3,1708,122,813,1272,873,103,5,62,209,955,493,567,424,5282,230,323,140
Sumba Tengah,21436,156,1098,276,271,1374,67,97,70,2161,248,2418,44,44,1501,37,1211,114,962,499,1771,260,27,-,20,405,25,194,510,4491,275,109,703
Sumba Barat Daya,21736,68,1433,488,85,897,42,24,339,8679,252,46,2,163,32,78,1231,169,1186,40,269,48,-,-,175,365,57,255,1160,3382,136,146,489
Nagekeo,18363,116,1566,408,423,436,31,113,107,2281,21,1935,-,215,1544,11,1000,94,905,949,315,470,31,33,82,265,131,87,163,4321,188,24,98
Manggarai Timur,16813,52,1019,483,864,507,58,33,-,819,33,859,5,91,729,-,1085,89,648,813,9,8,6,-,471,184,23,165,332,6765,65,133,465
Sabu Raijua,20192,185,1766,756,202,643,79,234,241,5063,454,231,-,138,213,46,1451,188,548,741,308,18,14,-,425,2466,327,879,280,1447,606,140,103
Malaka,28852,872,2276,805,1103,2291,181,260,145,4085,869,350,67,410,235,204,2021,147,1686,407,1199,53,16,165,1100,1716,153,394,440,4097,367,220,518
Kota Kupang,40379,481,1812,1033,1489,2460,117,783,538,5997,1116,830,70,1309,878,316,3708,266,1675,771,1321,463,229,242,2645,2391,1448,779,633,2934,794,736,113
Sambas,66631,150,601,1255,2554,2148,143,334,286,31087,1672,976,461,649,849,567,3688,453,2366,804,1966,746,997,243,1606,963,191,186,281,5622,791,1897,100
Bengkayang,37423,169,1217,1079,2114,3090,61,72,286,6095,1280,46,177,558,203,113,3679,820,1561,53,244,873,1740,76,194,566,319,472,607,7910,1041,39,665
Landak,34748,44,803,727,553,3255,4,144,504,5117,819,132,23,178,92,285,3413,1274,1299,72,278,574,1202,174,1400,359,731,121,363,8589,692,500,1026
Mempawah,39777,43,1009,867,2179,2704,55,189,990,2661,1753,1300,347,252,1137,642,3338,943,1731,608,1597,1325,1321,485,2012,611,588,376,537,4501,1056,2470,150
Sanggau,36550,187,892,409,1012,3032,91,117,552,4894,1466,130,68,207,745,606,3970,1072,1684,135,555,795,1755,432,1089,364,1251,424,669,4468,768,2248,461
Ketapang,39593,171,1664,971,1484,3568,133,160,1839,3377,1590,438,137,1648,780,869,3235,624,2024,345,1332,667,1784,490,755,390,1342,368,629,4019,1161,1430,169
Sintang,42167,157,809,496,1449,3271,94,154,882,5109,957,1205,231,679,1949,885,2832,459,1112,133,1045,848,817,1735,692,996,2052,325,380,7315,858,1829,412
Kapuas Hulu,38015,589,1756,976,2470,5331,78,314,286,586,1800,149,458,294,341,519,3694,576,568,118,184,1839,1485,545,2988,66,1632,543,545,4355,549,2290,92
Sekadau,44172,284,1206,1141,1713,4105,-,191,780,5280,1430,697,126,341,397,1106,3755,544,1612,308,843,546,1313,1121,483,484,2002,382,582,8292,1074,177,1858
Melawi,28284,119,417,665,575,2623,166,45,212,4489,671,431,225,193,253,592,1423,216,1076,342,1265,592,886,1009,1002,183,1281,151,353,5164,1044,435,184
Kayong Utara,43637,180,1171,1093,3728,3067,46,89,1912,10411,1389,21,87,898,350,549,2252,156,2518,77,1381,919,1895,149,1007,168,263,181,192,5096,796,1601,-
Kubu Raya,35370,113,1189,942,1559,2535,59,193,969,5361,1650,431,374,302,464,527,3443,588,2049,182,1161,865,996,350,1034,610,635,424,385,3653,741,1586,-
Kota Pontianak,76076,600,2573,1936,2742,2730,363,437,1556,10265,3848,2091,727,977,1403,2676,6472,648,3209,996,4266,832,3319,1193,3447,2292,1787,451,513,7523,1809,2383,13
Kota Singkawang,53179,252,1423,2165,3389,2168,171,169,655,9856,1622,191,727,624,657,805,5193,230,2146,483,1620,865,1869,326,2554,909,1104,1556,657,5537,1027,1990,242
Kotawaringin Barat,55689,286,1389,1309,2287,3447,413,382,1518,3752,3902,273,393,3938,1646,1202,5401,505,3252,770,1575,1790,452,371,2534,1591,2397,1313,769,4116,1333,932,452
Kotawaringin Timur,54995,204,2039,1568,2475,4138,615,354,1027,2603,2328,2337,336,3864,1034,1060,4749,804,3855,1467,1311,976,400,347,2784,1327,2273,881,670,3790,1348,1973,61
Kapuas,36294,273,1269,1163,2741,2957,538,152,681,2659,1359,854,359,2516,627,590,2018,491,2834,947,728,2179,327,167,342,506,1187,610,596,2544,657,1424,-
Barito Selatan,36537,271,650,1030,2102,3704,825,199,1253,300,1669,955,563,2375,980,623,3653,888,2888,812,1261,1044,256,151,1184,425,1557,369,337,1773,667,1773,-
Barito Utara,46464,283,1034,853,1604,2313,284,291,1259,3466,2591,1056,667,4550,1762,1125,4682,597,3105,1477,2217,1375,399,303,975,650,1364,435,379,2503,1139,1601,124
Sukamara,52206,779,2350,1187,1409,4462,291,218,1033,2957,2503,634,306,4299,570,1012,3817,873,2823,1338,2012,2180,381,624,2620,1590,1328,299,369,3135,1287,2784,735
Lamandau,51526,276,1745,1069,1603,3231,271,207,1212,2464,2434,700,428,5519,930,1471,3940,286,2941,1980,2691,1407,138,550,2312,1171,2065,615,340,4073,1214,1115,1131
Seruyan,49205,157,2190,1386,3323,5726,406,163,472,1382,1586,981,294,2930,1185,741,3952,308,4543,941,1116,2789,241,190,746,1286,1529,567,840,3080,1436,2268,451
Katingan,46559,374,1433,1503,4318,3599,354,427,881,946,2765,1370,731,3381,505,1407,5795,897,3040,897,917,640,269,232,1495,725,1511,683,402,2919,1091,922,129
Pulang Pisau,47983,334,1729,1264,2743,4249,638,261,2188,2528,1956,218,1254,3850,893,785,5679,807,3043,580,872,940,194,28,1440,397,1837,973,576,3326,913,1489,-
Gunung Mas,43922,109,1240,1280,3614,2675,401,116,410,5622,1100,420,29,2234,434,729,4188,949,3087,414,927,1141,102,-,1599,440,1521,913,444,4074,822,2269,621
Barito Timur,51818,240,1033,985,1828,3145,511,209,1124,4218,2591,1141,730,3270,1341,1812,4409,878,2685,1727,2814,3014,453,258,950,1617,1019,778,505,4608,805,901,218
Murung Raya,33993,332,1070,1131,3614,3513,84,190,555,631,1683,278,529,2720,495,658,3913,820,1292,372,1200,1705,159,70,1028,204,522,402,439,2231,661,1437,55
Kota Palangka Raya,70085,445,1666,2127,3045,3403,600,577,1553,5990,4004,883,1342,4283,1327,1723,6973,506,2763,2610,4292,1018,1021,694,2200,1578,3687,950,640,5784,941,1362,100
Tanah Laut,50362,212,1820,2445,3167,2804,297,203,1384,4884,1189,598,1248,2550,1190,1587,3404,357,5136,628,1290,3290,424,267,1137,701,952,451,573,3326,1167,1675,8
Kota Baru,51497,164,1493,1646,2708,2528,201,240,1459,4131,2195,1338,450,4075,1675,637,3406,733,4588,983,1760,1213,681,669,3283,1283,1748,551,394,1946,1139,2181,-
Banjar,66012,333,2526,2094,2858,3887,592,213,1206,3833,2406,3450,1020,4319,1506,1347,3960,937,4534,2881,4746,2971,609,385,2362,1579,706,566,614,4346,1216,2000,11
Barito Kuala,54247,292,2742,1774,3018,3359,516,184,1139,3097,1978,1308,788,4295,1288,1346,3603,648,4863,1913,2514,2037,636,141,1988,1191,1248,458,760,2715,860,1549,-
Tapin,73123,333,2039,1481,3746,4912,395,464,2062,4868,2770,2582,2061,4458,2761,1139,4189,1312,4206,4130,2767,3282,1307,339,2274,946,1538,776,1144,5649,1195,1998,-
Hulu Sungai Selatan,64902,258,2181,1960,3778,4533,537,132,1466,6520,2546,2400,2335,2440,2392,1047,3028,1124,4102,4682,3388,3133,533,174,922,641,682,492,797,4636,862,1177,-
Hulu Sungai Tengah,71077,392,1663,2132,3463,4154,995,390,1602,8275,2891,2189,1973,2795,2682,1057,3219,1424,4385,4901,3861,2375,895,223,2693,569,746,622,505,4863,918,2221,4
Hulu Sungai Utara,58730,130,1720,1091,3551,3652,827,193,1383,5595,2657,1891,595,3645,2440,759,2526,798,4203,3492,4073,2435,429,431,1765,1193,363,310,433,4217,700,1234,-
Tabalong,76509,406,2188,1401,3100,3976,663,266,2129,10338,3284,1294,1054,7351,1979,2002,4944,1263,4012,1410,4028,2417,1024,879,3322,1517,1600,786,651,4174,1061,1982,6
Tanah Bumbu,70607,461,2233,1455,2134,3087,88,592,2182,8325,2798,1384,1247,6905,1446,2006,4406,537,4214,1744,2996,4657,775,571,1680,1895,2103,927,852,4501,1387,1006,11
Balangan,66522,111,1352,1317,3011,3562,1507,194,1206,4194,2894,2805,924,5294,2358,1338,3468,1324,4677,3783,4808,2218,261,119,4226,847,767,663,717,3870,1139,1557,9
Kota Banjarmasin,84509,437,2655,1744,3024,3403,607,484,1981,7821,4942,2556,2018,5139,2720,2373,5425,993,3459,5139,5312,2358,3157,867,1724,1692,1754,904,783,5592,1330,2079,37
Kota Banjar Baru,76036,635,2258,1943,3015,2809,292,416,1711,10281,5196,1037,1580,4272,2145,1950,5767,568,3576,4301,3861,1941,1358,766,2154,1525,2285,906,921,4321,1172,1053,18
Paser,54611,348,1619,860,2268,2864,142,206,1104,6937,4446,521,330,3998,919,1343,4422,619,2958,565,1706,1668,825,854,2139,610,2248,490,410,4172,987,2032,3
Kutai Barat,68584,369,1591,1608,2041,2896,441,249,1883,12325,4656,3278,183,4171,1592,1707,4201,670,2639,1888,2199,1875,257,125,2860,1922,1848,855,899,3947,860,2532,15
Kutai Kartanegara,60073,468,1503,739,2438,3667,52,585,2001,7848,5421,513,411,2962,2162,1426,4379,966,2578,962,2235,1789,412,555,1497,751,2572,911,1070,3871,1257,2071,-
Kutai Timur,66760,556,1592,1250,2160,3831,211,566,1788,7522,4840,1241,359,1863,1366,2026,6497,608,2994,988,4170,1993,366,733,1518,1649,3535,973,793,3562,1930,3281,-
Berau,70362,637,1381,1518,3400,2775,828,390,2126,16747,3533,919,240,2752,1437,1602,4485,470,2586,1207,1884,1216,897,328,1879,2777,2972,1194,828,3892,1326,2025,108
Penajam Paser Utara,46599,231,1472,1327,1922,2645,204,159,1040,7886,2408,42,83,2020,830,537,4210,334,2604,229,664,1342,164,432,3190,1166,2598,279,466,2239,786,3060,29
Mahakam Ulu,38982,976,1365,735,1036,3797,48,298,954,1510,2842,1555,10,2310,959,811,2518,1918,1137,1135,1413,847,272,70,346,472,3748,530,484,2353,1025,1069,439
Kota Balikpapan,92752,986,2447,1923,3693,2470,310,779,2409,17126,6129,712,1091,4709,1294,2271,7978,416,3923,1524,4522,1097,1386,725,4221,1856,3941,918,985,5925,1561,3422,4
Kota Samarinda,86284,792,2677,1358,3120,2871,218,583,2310,12235,6411,1393,543,4615,2098,2110,6605,727,3067,2359,5230,1955,1360,923,3063,2230,3169,839,948,6188,1556,2729,1
Kota Bontang,77495,645,2928,1652,4303,2869,486,581,2135,11919,5745,463,554,2862,2246,1044,7189,334,2815,1305,4543,1323,1033,796,2571,1678,3469,633,1032,4689,1507,2093,51
Malinau,41565,400,1116,1194,2400,1962,228,130,764,6114,3006,379,67,1465,610,1031,2743,887,1912,496,1564,794,707,252,504,1211,2132,447,423,4042,510,1064,1010
Bulungan,58930,818,1119,1546,3383,2461,476,140,1902,11357,2270,2001,171,2864,2279,979,3684,487,1891,674,1808,787,360,400,1764,1569,3230,309,424,3962,832,2374,606
Tana Tidung,42260,535,1018,1395,1803,2745,391,25,1086,2661,2098,371,39,2918,794,782,4289,584,3022,592,2000,1277,690,122,402,709,3559,354,475,2167,1278,2045,33
Nunukan,42902,369,903,885,2570,2564,414,196,918,6317,3210,35,39,1426,546,1117,4147,469,1343,292,727,1864,300,195,1437,1012,3040,435,398,2813,550,2370,3
Kota Tarakan,55972,719,1272,1598,3700,2488,211,396,1295,4449,6061,430,281,2258,1554,1770,6271,688,1681,749,2733,1435,709,1003,1202,1186,3008,618,233,3047,982,1944,0
Bolaang Mongondow,37036,135,1710,823,3522,3157,62,471,1102,4870,1488,289,42,440,1146,309,5175,232,782,1403,842,604,395,455,727,545,1605,342,350,1972,786,806,451
Minahasa,60382,357,2423,1511,3947,3484,87,369,1027,12993,2076,1335,37,1081,2193,604,7351,380,1430,2853,1997,594,883,537,1934,1772,1513,436,460,3013,699,389,618
Kepulauan Sangihe,26060,18,1605,772,3248,2347,100,156,239,2265,1345,650,24,415,609,54,2790,156,905,776,771,82,626,71,776,512,88,222,180,3503,235,362,156
Kepulauan Talaud,20286,43,1126,345,3596,1784,49,197,97,2210,300,132,-,101,561,23,3177,74,497,529,210,-,98,16,701,370,1786,247,141,999,303,22,552
Minahasa Selatan,38768,74,1097,1106,3195,2888,83,159,277,9764,857,81,-,878,1122,81,4541,156,651,1645,583,229,428,138,2368,1137,1408,242,257,1337,751,430,806
