Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minahasa Utara,45915,351,2238,1186,3181,2352,77,556,795,8386,2562,426,129,498,1253,478,4507,313,1161,3395,1307,426,873,317,1254,1122,2602,479,465,1926,720,423,158
Bolaang Mongondow Utara,35817,80,1075,545,3527,2526,11,174,388,7388,1566,1167,24,281,1629,134,2427,517,624,2271,1176,85,399,1059,315,327,1273,447,504,3006,513,247,113
Siau Tagulandang Biaro,37091,117,1299,698,4674,1996,11,100,954,6764,1114,824,40,522,1067,48,3038,232,659,1736,952,80,647,26,10,652,850,355,275,5599,710,122,920
Minahasa Tenggara,37205,236,1576,1267,3120,2558,155,554,586,5022,2214,596,32,545,1493,145,4019,427,817,1466,1270,382,223,79,2227,748,2091,246,288,932,729,597,565
Bolaang Mongondow Selatan,26979,22,871,283,2589,2500,70,457,329,4981,1314,661,5,158,677,145,2217,261,1014,829,1159,212,221,708,527,304,1778,336,372,488,432,820,241
Bolaang Mongondow Timur,35119,124,1337,778,3052,3200,36,327,651,4140,2260,374,16,419,1676,161,4650,320,966,2001,1313,647,957,291,486,535,1549,420,437,819,535,517,124
Kota Manado,60429,427,2497,1170,4017,3025,121,508,1417,13673,3050,205,110,1260,1501,427,5333,249,903,2798,1486,224,1258,391,1990,2057,3970,1013,653,2767,1056,668,204
Kota Bitung,57350,376,2100,1568,3101,2982,67,593,1150,13906,2628,820,130,744,1425,430,4490,284,1479,2608,2351,507,590,222,1221,2593,2389,1216,911,2145,826,1184,316
Kota Tomohon,54594,973,2547,1557,4617,3493,38,147,1103,6211,3679,1280,26,551,1990,415,7351,606,1119,3988,2078,226,2710,709,913,732,1704,403,363,1932,772,204,157
Kota Kotamobagu,50509,188,1787,1353,3117,2995,79,519,1506,10650,2390,203,23,463,2253,202,5407,261,1262,4464,1613,1593,1945,178,23,650,1904,250,298,1062,930,760,180
Banggai Kepulauan,18856,27,487,544,3516,829,33,31,242,5188,65,158,-,151,1082,112,1025,152,679,378,374,23,117,251,425,100,1229,126,119,471,154,633,135
Banggai,44204,140,1202,1356,3800,2696,69,230,1460,5157,1159,1615,83,665,1907,374,4578,280,1742,2214,991,142,172,1404,1576,1090,1963,365,1102,2575,1037,987,73
Morowali,51151,115,683,679,2708,1928,30,283,2128,14458,3161,466,46,349,809,850,3290,578,1638,300,2332,301,479,1482,1965,940,3491,974,598,2572,870,645,2
Poso,31112,222,1072,1018,2354,1116,22,114,898,4931,986,675,37,214,1805,147,2273,256,1410,796,1764,93,292,1315,805,430,1324,424,301,3037,433,155,393
Donggala,29358,145,817,2042,3144,1826,269,212,1107,2794,907,416,13,219,742,222,1697,493,2483,534,637,233,182,1843,2093,330,492,528,279,1420,582,636,19
Toli-Toli,29658,168,604,1342,3673,1603,193,76,995,3770,932,391,10,265,739,181,1923,204,2424,1453,494,385,65,928,2032,435,1010,247,322,1413,708,665,7
Buol,29794,27,690,918,3306,1967,69,81,635,4692,1050,82,12,193,627,50,1447,192,1853,1017,638,1040,166,940,2795,520,1972,252,348,1344,593,278,-
Parigi Moutong,37001,174,893,1123,2362,2300,48,320,1180,7640,814,717,53,576,1105,210,2207,327,1902,1063,699,349,391,2313,1249,410,1370,379,462,3206,423,679,57
Tojo Una-Una,27710,144,922,996,3157,1896,1,131,623,5034,457,481,61,152,1307,34,1271,210,1377,958,1268,194,213,773,1960,102,1131,66,431,1462,284,611,1
Sigi,28709,184,1127,1005,2048,1577,60,371,1409,5854,499,384,91,123,593,95,1567,473,1821,549,442,322,131,1722,1058,593,323,306,346,2493,337,535,273
Banggai Laut,18778,101,1044,300,3316,863,7,44,521,2411,968,351,43,224,441,65,977,761,825,618,532,168,153,520,354,252,1136,112,210,493,275,695,-
Morowali Utara,42074,291,1345,833,3507,2327,100,139,2405,5750,505,843,70,677,1302,124,3165,428,1617,414,1258,289,256,1614,2379,1133,2585,674,800,3032,674,839,699
Kota Palu,56466,823,1979,1822,2579,1962,65,539,1701,13571,1942,326,131,702,2086,761,3156,516,2541,1480,2140,636,1086,2560,1510,1683,2865,797,714,2098,912,784,-
Kepulauan Selayar,34356,240,1504,1971,4421,1171,241,92,453,4158,1172,826,159,340,757,121,3271,310,2296,634,1153,46,84,275,1902,685,2463,419,541,1986,273,377,16
Bulukumba,30982,416,1143,1537,2462,2466,374,145,1472,2646,1471,480,17,499,271,142,4634,472,1627,345,1177,305,123,785,976,875,1260,457,273,1373,440,309,8
Bantaeng,56399,268,2303,2560,3938,3311,588,221,537,13047,1784,581,81,538,877,350,7166,558,3214,960,1215,225,104,2249,914,1718,310,642,561,3661,1022,841,54
Jeneponto,23507,139,1237,1143,1708,1855,316,158,1595,1123,714,94,26,203,202,62,4712,335,1601,194,336,263,33,918,969,482,717,475,183,1123,429,163,-
Takalar,34345,269,1207,1570,1500,1884,240,149,669,2591,696,1144,82,1481,842,131,7087,203,2483,1276,1136,228,96,609,1481,1167,811,295,412,1507,496,524,77
Gowa,43729,759,1487,1833,2391,2256,260,483,1177,5554,1867,348,147,918,391,346,7668,824,2762,667,1074,593,436,1512,476,1419,1145,599,492,2121,1148,438,137
Sinjai,34415,539,1446,2136,2161,3098,335,158,583,3410,901,1130,35,850,653,148,3600,572,2424,880,1659,273,57,992,752,833,254,389,424,2885,484,355,-
Maros,34227,304,1381,1551,2078,1814,36,499,1473,2676,1212,427,38,365,402,431,5851,281,2377,431,1496,711,109,991,997,1319,1605,327,660,1245,710,422,9
Pangkajene dan Kepulauan,51753,594,2314,1788,2396,2831,401,871,1914,8085,2219,204,50,865,416,240,6831,664,3023,324,1601,1113,510,2366,558,1004,1732,855,1227,2831,690,1215,19
Barru,29578,141,1548,1248,2448,2042,257,256,572,5599,1088,52,1,235,282,153,3992,290,1424,171,420,423,320,932,595,962,1004,593,431,1051,319,731,-
Bone,23075,76,973,927,1200,1513,114,118,671,4289,687,109,52,117,88,173,3343,160,1453,101,643,197,139,539,750,506,950,581,265,1830,226,283,2
Soppeng,38115,149,1166,1509,1789,1593,264,104,690,10142,1741,359,46,867,361,424,4273,508,1152,345,455,523,77,484,1712,1121,671,379,192,3829,407,780,2
Wajo,41503,273,1249,1345,2222,1529,361,176,1222,12441,1906,342,14,453,189,104,4695,450,1989,165,796,398,268,1329,743,1491,970,753,424,2273,434,488,12
Sidenreng Rappang,53681,124,1277,1214,2947,2180,200,303,1521,12154,2957,729,101,465,454,375,7530,669,2104,525,809,449,472,1452,1914,1605,1545,1109,822,3638,742,1291,2
Pinrang,54106,198,1689,1539,3186,3481,407,292,1355,11858,2652,501,32,757,876,327,5640,552,2786,735,1474,781,146,2259,527,1322,1884,861,615,3361,637,1374,1
Enrekang,52747,266,1654,2004,3255,3095,290,412,1231,12850,1702,579,104,1106,762,271,5735,339,2607,231,2189,400,352,1763,1486,1800,583,533,490,2838,885,935,-
Luwu,27344,173,1146,1182,1474,1080,76,114,1042,3843,597,391,68,264,465,218,3879,382,1568,542,476,148,42,1786,1943,798,788,380,353,955,463,368,339
Tana Toraja,22962,47,527,587,1218,730,14,77,104,9484,273,115,9,31,98,8,2270,140,325,110,310,43,73,147,643,384,82,93,163,2122,230,76,2431
Luwu Utara,37944,114,1041,1065,1538,1221,59,103,1497,1337,487,2863,86,1308,1998,194,3958,259,2244,1739,2807,823,38,3241,1358,788,540,749,522,2352,700,910,4
Luwu Timur,35639,572,1029,1495,1887,1511,184,206,1575,7558,616,123,37,396,683,251,4081,337,1930,105,780,143,210,2266,894,886,1270,375,257,2629,616,677,61
Toraja Utara,22765,121,624,841,1291,1377,34,166,103,5466,295,955,7,20,496,22,2212,162,813,437,1127,118,69,453,537,882,141,181,381,2173,282,167,811
Kota Makasar,59763,1049,2051,1598,3181,2358,446,804,2146,5965,3513,509,234,1587,529,963,7344,448,2667,635,2237,797,944,1726,3956,2023,2894,943,875,3178,799,1351,12
Kota Parepare,50958,323,1252,1223,2749,2252,684,323,1044,13254,2492,349,6,696,644,444,4520,551,2122,571,1113,338,797,941,2361,2705,2516,635,247,2200,473,1106,27
Kota Palopo,57871,426,1980,1337,1577,1597,353,528,1643,12795,1389,875,79,1307,1272,662,6237,339,3839,963,2598,415,722,3199,1924,1988,707,964,859,2866,883,1439,108
Buton,21670,133,2710,1003,1727,2527,113,761,333,104,433,1518,34,105,1154,28,1184,519,597,917,864,222,53,116,719,893,318,596,379,559,465,455,130
Muna,19888,36,2924,675,1334,958,32,185,329,5982,229,131,31,59,103,13,729,200,1335,68,120,34,257,570,630,626,695,222,428,367,150,221,212
Konawe,35058,57,969,976,2839,3131,85,246,1183,7129,879,185,36,289,581,27,3540,586,1804,277,532,186,78,2318,244,1938,1761,579,490,1305,587,195,27
Kolaka,41076,134,1251,1178,3245,2903,217,688,2078,6147,1543,297,71,630,486,135,5673,770,1906,334,450,363,174,1954,932,1223,1450,682,894,1745,645,854,24
Konawe Selatan,35153,12,1244,1544,3035,3090,64,151,1662,6458,886,456,61,465,233,42,3168,379,2068,115,525,94,73,2201,653,837,1576,732,925,1858,261,262,20
Bombana,32016,220,2090,1663,1866,1732,153,191,1533,4540,416,1103,64,229,825,75,2873,699,2602,945,1216,270,26,829,161,541,1789,754,948,925,280,383,76
Wakatobi,34328,134,4568,1333,1845,1273,96,902,534,5399,761,1010,194,305,1333,14,1646,408,1090,818,1089,67,1,874,1495,1511,1111,439,707,1710,257,1250,153
Kolaka Utara,52811,202,1970,1182,2628,2419,740,423,1656,15708,1315,529,1,624,262,140,5488,928,2594,585,450,285,27,2070,706,1556,1103,1341,748,3242,970,918,-
Buton Utara,22513,97,2187,1086,1774,1405,267,298,335,4640,342,137,23,73,476,91,774,358,1953,359,408,91,5,419,1145,658,1041,451,551,375,229,454,10
Konawe Utara,50033,141,1486,1138,3369,2271,112,125,1448,17709,1515,810,40,334,606,69,4122,559,2080,361,1240,239,33,1672,459,2021,1867,964,803,1504,575,359,2
Kolaka Timur,32207,166,745,1051,2660,2314,272,279,1606,6365,550,637,9,442,605,152,2630,415,2518,559,1022,198,46,972,1150,719,656,610,159,2069,406,114,114
Konawe Kepulauan,33809,153,965,1580,3590,2263,100,183,769,8808,458,32,11,13,470,94,2167,512,2114,109,69,281,10,1497,184,1429,620,125,573,3786,331,511,1
Muna Barat,21887,44,2778,924,1838,1579,60,461,1411,3126,314,148,54,28,126,3,1043,516,1175,38,168,8,44,1179,1509,745,559,250,205,551,274,606,123
Buton Tengah,22235,206,2710,980,1397,2342,81,540,284,2322,674,491,5,120,564,32,1080,291,1256,283,491,155,116,857,816,1011,981,250,227,486,364,809,12
Buton Selatan,28866,258,3497,663,2190,2526,441,865,31,899,409,2135,40,17,2022,20,896,673,898,2883,774,36,12,283,1726,768,158,337,355,2038,306,650,60
Kota Kendari,60907,621,1921,2026,3718,3543,538,998,2040,9023,2176,2001,70,1082,1877,295,5059,586,2523,1947,2309,216,654,2224,2324,3302,3083,1130,535,1275,760,1031,18
Kota Baubau,30890,186,2726,765,1231,1392,188,259,330,6838,1138,402,3,285,753,178,2014,330,762,425,1283,113,226,506,1873,1512,2081,263,405,1082,318,1023,-
Boalemo,41288,151,1083,561,3021,3142,46,419,502,10661,1392,735,27,313,513,107,2492,199,2395,1037,633,147,174,1843,613,1491,1922,505,1654,891,722,1139,759
Gorontalo,30991,165,1013,731,2532,2677,13,356,827,4013,1735,1546,78,478,617,279,1876,459,1381,916,2015,250,157,1150,170,1243,1521,276,360,748,674,503,232
Pohuwato,31895,56,622,269,1909,1600,42,175,344,10815,1226,948,9,397,328,63,1684,178,1467,661,1317,55,127,690,658,998,2671,251,657,641,387,457,192
Bone Bolango,37537,405,1351,645,2472,2374,82,905,862,6380,2619,2244,57,273,740,238,1826,446,1439,1213,1673,313,291,522,315,1895,1726,320,393,1822,595,997,101
Gorontalo Utara,40857,95,930,921,3364,2633,43,511,419,11222,1978,1444,5,431,461,78,2193,479,1484,1674,749,67,683,1174,1143,919,1992,671,667,1134,748,428,117
Kota Gorontalo,50135,307,1587,913,3116,2291,72,533,1150,8907,2438,2598,39,630,1305,428,2507,166,2558,2764,2982,286,494,1869,811,2071,2725,323,687,1582,600,1269,127
Majene,32536,154,1551,1388,2848,1850,307,72,1037,3660,1744,192,450,109,671,265,2642,440,4106,653,1072,132,187,1016,1138,671,1264,340,370,1298,534,371,4
Polewali Mandar,34103,99,1578,1399,2380,1721,214,45,706,4333,2072,679,153,404,313,169,3462,924,2575,607,815,371,91,1451,1499,882,835,357,574,2466,511,413,5
Mamasa,24604,39,815,706,883,713,71,50,104,12487,429,308,2,1,80,6,1176,274,1495,80,295,55,8,83,156,361,48,60,220,3000,205,43,351
Mamuju,29713,301,1287,751,2401,1530,181,77,960,4649,1727,342,41,312,452,151,2709,565,2180,532,707,206,291,1106,545,1343,831,557,405,1687,378,440,68
Mamuju Utara,40819,238,1803,1212,2765,1925,159,263,1797,8238,1155,422,7,633,379,887,4185,355,3462,374,1068,407,109,1243,647,703,1394,619,655,1807,943,744,219
Mamuju Tengah,30269,72,865,962,2386,1596,74,71,1333,3815,1159,141,36,384,413,90,3016,475,3273,429,472,130,89,993,442,2174,1700,673,434,1595,529,443,5
Maluku Tenggara Barat,12187,252,4437,293,162,1217,171,99,55,371,410,184,-,17,122,34,288,86,498,67,205,14,1,53,514,283,849,196,150,350,115,151,541
Maluku Tenggara,22829,308,5220,825,918,1008,410,156,316,624,703,581,59,369,541,614,1167,41,1484,558,532,35,252,34,1191,1072,612,300,237,1497,179,789,196
Maluku Tengah,25991,421,5586,472,543,2471,496,115,303,2051,1008,136,23,271,717,92,2021,152,931,108,280,82,145,323,2563,657,972,255,312,400,418,1305,359
Buru,29411,299,3990,551,567,2489,97,261,808,5118,1347,586,74,551,526,391,2167,242,1704,292,329,172,160,72,1134,934,1096,313,234,953,735,1223,-
Kepulauan Aru,20437,349,4132,550,276,1069,78,97,259,1553,1446,187,21,612,421,256,1350,84,1163,120,678,23,24,13,2447,707,831,346,228,379,255,267,213
Seram Bagian Barat,27373,324,5014,598,709,2097,265,116,278,2475,2416,675,34,677,664,133,1433,224,867,1037,179,24,454,53,2161,424,173,130,379,1497,303,900,662
Seram Bagian Timur,22987,170,3411,754,847,2295,578,20,137,2813,179,206,14,4,309,72,416,18,1157,210,25,37,11,14,5017,507,595,157,309,1262,117,1214,110
Maluku Barat Daya,21585,158,4437,364,293,2396,1092,332,43,1255,815,538,2,144,453,18,582,20,982,411,811,-,5,-,435,834,691,179,444,1918,139,317,1477
Buru Selatan,15363,131,4138,265,311,1280,227,60,43,628,322,433,63,115,545,65,447,23,631,468,306,-,209,19,1110,227,307,106,194,1475,74,700,441
Kota Ambon,49736,891,5579,1011,1334,3265,249,328,576,8336,1970,496,153,1169,1454,1005,3546,148,1146,1212,1716,271,558,164,2726,2779,1877,377,340,1970,813,1508,770
Kota Tual,35088,179,6405,925,1230,1860,943,391,1076,2833,1586,315,89,1016,549,760,1999,245,1014,645,427,40,135,152,1787,1621,1380,378,542,1484,501,2537,45
Halmahera Barat,15054,147,2027,244,766,1425,61,169,222,1523,958,668,47,119,590,82,919,89,603,609,552,156,39,265,468,201,460,75,56,742,229,408,135
Halmahera Tengah,50571,214,2223,1483,1619,2426,206,220,1379,12571,1500,476,39,467,545,273,3014,160,2030,359,2586,467,381,571,3177,1256,3023,1049,588,1933,1474,2570,291
Kepulauan Sula,17027,189,3751,721,600,1172,358,70,36,1568,763,197,-,188,414,229,879,72,620,376,392,50,7,539,460,333,788,93,100,606,170,1154,134
Halmahera Selatan,25290,128,2827,1057,710,999,199,100,40,4455,158,311,6,14,583,36,587,26,1639,766,483,47,-,47,5185,832,496,163,184,617,123,2382,91
Halmahera Utara,27290,244,3299,624,1793,1831,86,261,285,4369,1843,305,8,335,571,252,2270,237,566,395,737,137,80,302,590,353,1496,388,135,863,561,1271,801
Halmahera Timur,40839,251,4338,879,1388,3093,256,539,1119,5801,1388,657,23,716,1192,573,2263,177,1716,596,2354,963,60,276,1265,1134,2709,661,288,1145,778,1759,483
Pulau Morotai,22036,221,4025,786,613,3390,214,193,364,974,710,147,37,115,805,106,718,250,670,392,487,83,73,34,1382,533,2367,103,49,901,378,712,209
Pulau Taliabu,26575,64,4888,520,820,2609,450,274,533,1361,806,907,22,283,498,19,1996,261,526,427,274,-,31,487,1528,120,1123,136,848,2748,84,1553,381
Kota Ternate,67287,576,3495,2955,4854,3775,329,579,1630,8927,4153,274,243,1775,1893,860,3724,507,1951,2682,4494,1416,1315,852,2078,2196,2810,831,728,2582,901,1880,21
Kota Tidore Kepulauan,36811,168,2813,1209,1364,2698,100,323,345,5334,3375,676,27,674,936,143,2042,68,678,1062,2272,648,62,263,1733,909,1611,461,201,2274,425,1873,46
Fakfak,30285,399,1585,1180,1107,1963,134,422,465,4001,1246,211,43,328,180,340,2272,253,1533,237,1356,77,139,358,1642,2662,1108,1211,401,1173,733,969,558
Kaimana,36388,422,2330,1547,1402,1288,77,176,790,9506,1398,319,1,699,179,152,3164,138,1221,260,588,118,116,97,989,2300,1873,1507,720,1073,409,811,718
Teluk Wondama,23392,118,1820,899,1287,1682,13,57,285,3015,1295,789,33,37,635,55,2709,265,1770,395,-,22,16,57,287,828,505,1624,572,1025,280,563,452
Teluk Bintuni,38501,631,2092,1478,2255,2066,205,132,794,2725,1370,610,1,195,313,30,3349,117,1051,963,3102,564,57,319,1292,4873,2299,1563,752,1259,525,1171,349
Manokwari,49616,832,1724,1024,1621,2818,233,652,1860,5703,1744,581,401,844,930,1313,6058,1266,1345,184,946,631,513,819,1299,2992,2813,1853,924,3627,771,947,349
Manokwari Selatan,53537,986,3726,2464,2394,1560,122,719,555,11072,1312,625,61,55,439,7,4143,1672,795,869,1719,40,170,93,691,4294,2102,1481,1780,4307,1191,1686,408
Pegunungan Arfak,31202,51,2866,3984,1598,2517,355,348,162,1461,412,374,7,-,734,15,3196,382,1933,593,163,14,26,401,1777,1205,111,1981,1319,1624,547,616,430
Raja Ampat,30854,280,2294,2751,2843,2182,326,308,176,5096,305,806,206,211,733,76,1076,214,1497,878,647,30,30,374,187,1649,770,843,520,2194,164,720,467
Sorong,22974,356,2241,1728,849,2693,30,143,171,3580,963,168,-,36,157,89,1742,1007,607,59,39,40,61,281,79,1184,255,1853,455,1551,161,396,-
Sorong Selatan,49076,1283,1573,792,2213,4306,60,1266,4724,2693,2650,894,62,1027,691,3182,7433,274,858,616,513,720,195,1253,1362,2252,394,1501,494,971,981,1800,43
Maybrat,26192,210,1286,2040,1437,2004,31,117,180,7969,223,88,-,34,12,8,1442,52,623,238,114,18,48,144,499,2733,440,767,87,1432,151,1118,644
Tambrauw,46382,554,2497,2798,2087,2132,79,502,1516,4372,849,140,157,808,527,431,5751,356,1873,400,769,1002,561,3274,783,2388,2479,2034,878,1371,1086,1799,126
Kota Sorong,55820,715,1968,1375,3837,2215,195,352,1102,12160,3516,345,85,565,415,762,3820,297,1094,434,2311,326,747,2445,2717,2308,3474,1356,655,2004,842,1026,355
Jayapura,26276,426,1335,1013,1942,1709,77,199,424,2929,1008,329,45,317,426,173,2391,231,652,500,524,91,236,112,1220,1208,3519,545,173,1303,194,561,465
Kepulauan Yapen,29429,737,1219,1629,1916,1697,32,275,1181,2057,577,95,195,641,465,387,5383,225,651,113,354,233,161,867,584,822,3641,1086,405,713,468,578,41
Biak Numfor,13766,288,1144,983,508,1006,202,239,465,856,661,23,62,61,71,67,1675,134,601,11,40,3,70,-,736,596,1170,518,177,253,85,469,592
Sarmi,1024,68,236,243,127,150,-,-,-,83,-,25,-,-,-,-,-,-,-,-,13,-,-,-,-,-,46,-,-,33,-,-,-
Keerom,41745,331,1734,903,2811,3956,115,488,1366,4856,1268,55,219,652,392,292,5575,130,1429,134,109,492,792,179,2191,1479,4237,1816,544,1122,482,1597,-
Waropen,568,18,110,104,74,140,-,-,-,23,-,4,-,-,1,-,-,9,1,-,10,-,-,-,-,1,35,7,26,7,-,-,-
Supiori,726,32,209,128,109,78,-,-,-,66,-,14,-,-,10,-,-,-,13,-,45,-,-,-,-,-,-,-,-,24,-,-,-
Mamberamo Raya,15088,-,1973,1018,294,11616,-,-,-,-,86,-,-,57,-,-,6,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-
Kota Jayapura,19864,64,940,6797,63,2205,258,-,66,1499,146,110,-,384,54,-,99,243,3967,201,258,-,-,-,217,284,22,316,75,1454,-,144,-
Merauke,55316,875,2238,1973,2738,3117,264,789,1747,3558,2050,2346,85,1430,2304,829,6130,572,1166,1043,1530,589,664,1061,1732,2124,2287,2172,1198,3431,770,1470,1032
Boven Digoel,54280,417,2121,1598,2382,3830,270,397,1821,4796,1939,164,48,1251,837,368,5044,480,2139,1349,654,867,543,1189,1450,4429,5132,2521,1329,2703,851,542,819
Mappi,23424,783,1912,903,924,1531,112,358,835,2623,1298,454,37,500,221,162,1320,55,791,437,705,50,352,337,726,1404,2795,745,273,417,237,72,54
Asmat,15572,551,987,1328,841,1670,36,39,408,2366,245,138,33,4,114,89,1368,213,356,9,99,3,90,-,429,1141,558,1884,193,185,21,147,27
Mimika,50625,857,1493,1201,2818,1967,381,1076,1109,5318,2963,507,215,2050,556,1551,5565,278,1361,813,1497,598,1399,777,2491,2269,2585,1290,595,1741,1106,1027,1171
Dogiyai,2244,15,-,204,336,191,-,-,57,756,345,-,-,-,-,-,92,-,-,161,2,-,40,40,-,6,-,-,-,-,-,-,-
Deiyai,1994,12,70,32,53,396,-,43,87,347,72,-,-,-,43,-,190,-,90,-,-,-,-,-,169,109,219,-,-,18,16,29,-
Nabire,22301,373,495,980,931,1997,383,253,494,1884,825,765,87,263,578,271,2564,309,169,1133,570,60,657,80,90,248,3000,920,166,600,280,416,460
Paniai,12835,324,879,731,815,2304,227,775,72,992,914,-,20,42,51,7,1090,213,283,9,67,3,19,10,163,478,752,191,96,882,43,155,229
Intan Jaya,34691,339,3043,4211,19,1486,111,-,319,11812,997,46,-,-,-,-,0,1941,455,2,-,-,-,50,2031,98,-,372,428,5440,1357,134,-
Puncak,3220,-,13,908,280,214,3,-,-,1255,124,40,-,-,33,6,-,1,87,2,71,-,-,-,-,12,-,6,89,74,-,-,-
Puncak Jaya,23558,1129,314,879,904,2775,18,13,-,-,1593,4606,85,1,488,-,-,398,428,4782,213,-,13,10,450,342,558,409,242,2894,13,-,-
Nduga,20379,84,389,3771,51,7356,31,-,-,67,244,140,-,59,-,-,689,451,525,-,195,-,-,3,83,265,153,4584,86,384,12,124,632
Jayawijaya,45113,802,1647,821,1922,3913,367,463,956,2767,2892,3212,271,378,2951,657,3026,661,504,2717,831,122,440,134,1987,1569,966,959,519,3723,408,636,1890
Lanny Jaya,9406,36,238,2777,584,1493,844,111,91,39,272,176,-,-,-,-,157,411,608,-,-,-,-,16,670,-,-,399,34,450,-,-,-
Tolikara,23678,-,1400,293,1595,1917,5,35,217,5487,3980,113,32,2110,13,145,933,1574,116,-,104,-,-,-,44,566,71,544,791,805,23,765,-
Mamberamo Tengah,19276,357,567,865,644,2441,27,173,656,2066,384,552,70,139,445,78,1341,485,380,97,643,430,37,87,132,1116,2714,402,222,1522,83,119,2
Yalimo,19546,6,42,14883,113,278,-,-,-,-,-,-,-,-,-,-,-,-,-,-,225,-,-,21,-,31,126,3430,392,-,-,-,-
Yahukimo,20572,321,1265,1197,624,3482,299,1,41,1106,427,10,29,157,14,138,777,117,1084,189,46,97,-,58,183,4164,536,1974,963,850,44,378,-
Pegunungan Bintang,53224,843,2831,1589,2307,2566,351,398,1270,7931,2988,338,400,1028,321,798,5523,630,949,459,532,55,419,915,2672,1809,5050,2326,923,2308,1116,1532,50